state_id,city,state,lat,lng
644acdf0a6ac80d10e860528,New York,New York,40.6943,-73.9249
644acdf0a6ac80d10e860529,Los Angeles,California,34.1141,-118.4068
644acdf0a6ac80d10e86052a,Chicago,Illinois,41.8375,-87.6866
644acdf0a6ac80d10e86052b,Miami,Florida,25.784,-80.2101
644acdf0a6ac80d10e86052c,Dallas,Texas,32.7935,-96.7667
644acdf0a6ac80d10e86052c,Houston,Texas,29.786,-95.3885
644acdf0a6ac80d10e86052d,Philadelphia,Pennsylvania,40.0077,-75.1339
644acdf0a6ac80d10e86052e,Atlanta,Georgia,33.7628,-84.422
644acdf0a6ac80d10e86052f,Washington,District of Columbia,38.9047,-77.0163
644acdf0a6ac80d10e860530,Boston,Massachusetts,42.3188,-71.0852
644acdf0a6ac80d10e860531,Phoenix,Arizona,33.5722,-112.0892
644acdf0a6ac80d10e860532,Detroit,Michigan,42.3834,-83.1024
644acdf0a6ac80d10e860533,Seattle,Washington,47.6211,-122.3244
644acdf0a6ac80d10e860529,San Francisco,California,37.7558,-122.4449
644acdf0a6ac80d10e860529,San Diego,California,32.8313,-117.1222
644acdf0a6ac80d10e860534,Minneapolis,Minnesota,44.9635,-93.2678
644acdf0a6ac80d10e860528,Brooklyn,New York,40.6501,-73.9496
644acdf0a6ac80d10e86052b,Tampa,Florida,27.9945,-82.4447
644acdf0a6ac80d10e860535,Denver,Colorado,39.762,-104.8758
644acdf0a6ac80d10e860528,Queens,New York,40.7498,-73.7976
644acdf0a6ac80d10e860536,Baltimore,Maryland,39.3051,-76.6144
644acdf0a6ac80d10e860537,Las Vegas,Nevada,36.2333,-115.2654
644acdf0a6ac80d10e860538,St. Louis,Missouri,38.6359,-90.2451
644acdf0a6ac80d10e860539,Portland,Oregon,45.5371,-122.65
644acdf0a6ac80d10e860529,Riverside,California,33.9381,-117.3949
644acdf0a6ac80d10e86052b,Orlando,Florida,28.4773,-81.337
644acdf0a6ac80d10e860529,Sacramento,California,38.5677,-121.4685
644acdf0a6ac80d10e86053a,San Juan,Puerto Rico,18.3985,-66.061
644acdf0a6ac80d10e86052c,San Antonio,Texas,29.4632,-98.5238
644acdf0a6ac80d10e860529,San Jose,California,37.3012,-121.848
644acdf0a6ac80d10e86052d,Pittsburgh,Pennsylvania,40.4397,-79.9763
644acdf0a6ac80d10e86053b,Cincinnati,Ohio,39.1413,-84.506
644acdf0a6ac80d10e860528,Manhattan,New York,40.7834,-73.9662
644acdf0a6ac80d10e86053b,Cleveland,Ohio,41.4764,-81.6805
644acdf0a6ac80d10e86053c,Indianapolis,Indiana,39.7771,-86.1458
644acdf0a6ac80d10e86052c,Austin,Texas,30.3005,-97.7522
644acdf0a6ac80d10e860538,Kansas City,Missouri,39.1238,-94.5541
644acdf0a6ac80d10e86053b,Columbus,Ohio,39.9862,-82.9855
644acdf0a6ac80d10e86053d,Charlotte,North Carolina,35.2083,-80.8303
644acdf0a6ac80d10e86053e,Virginia Beach,Virginia,36.7335,-76.0435
644acdf0a6ac80d10e860528,Bronx,New York,40.8501,-73.8662
644acdf0a6ac80d10e86053f,Milwaukee,Wisconsin,43.0642,-87.9675
644acdf0a6ac80d10e860540,Providence,Rhode Island,41.823,-71.4187
644acdf0a6ac80d10e86052b,Jacksonville,Florida,30.3322,-81.6749
644acdf0a6ac80d10e860541,Salt Lake City,Utah,40.7776,-111.9311
644acdf0a6ac80d10e860542,Nashville,Tennessee,36.1715,-86.7842
644acdf0a6ac80d10e86053d,Raleigh,North Carolina,35.8324,-78.6429
644acdf0a6ac80d10e860542,Memphis,Tennessee,35.1087,-89.9663
644acdf0a6ac80d10e860543,Louisville,Kentucky,38.1663,-85.6485
644acdf0a6ac80d10e86053e,Richmond,Virginia,37.5295,-77.4756
644acdf0a6ac80d10e860528,Buffalo,New York,42.9018,-78.8487
644acdf0a6ac80d10e860544,Oklahoma City,Oklahoma,35.4676,-97.5136
644acdf0a6ac80d10e860545,Bridgeport,Connecticut,41.1918,-73.1954
644acdf0a6ac80d10e860546,New Orleans,Louisiana,30.0687,-89.9288
644acdf0a6ac80d10e86052c,Fort Worth,Texas,32.7817,-97.3474
644acdf0a6ac80d10e860545,Hartford,Connecticut,41.7661,-72.6834
644acdf0a6ac80d10e860531,Tucson,Arizona,32.1541,-110.8787
644acdf0a6ac80d10e860547,Honolulu,Hawaii,21.3294,-157.846
644acdf0a6ac80d10e86052c,McAllen,Texas,26.2252,-98.2467
644acdf0a6ac80d10e860548,Omaha,Nebraska,41.2627,-96.0529
644acdf0a6ac80d10e86052c,El Paso,Texas,31.8476,-106.43
644acdf0a6ac80d10e860549,Albuquerque,New Mexico,35.1054,-106.6465
644acdf0a6ac80d10e860528,Rochester,New York,43.168,-77.6162
644acdf0a6ac80d10e86052b,Sarasota,Florida,27.3387,-82.5432
644acdf0a6ac80d10e860529,Fresno,California,36.783,-119.7939
644acdf0a6ac80d10e860544,Tulsa,Oklahoma,36.1283,-95.9042
644acdf0a6ac80d10e86052d,Allentown,Pennsylvania,40.5961,-75.4756
644acdf0a6ac80d10e86053b,Dayton,Ohio,39.7805,-84.2003
644acdf0a6ac80d10e86054a,Birmingham,Alabama,33.5279,-86.7971
644acdf0a6ac80d10e86054b,Charleston,South Carolina,32.8168,-79.9687
644acdf0a6ac80d10e86052b,Cape Coral,Florida,26.6443,-81.9957
644acdf0a6ac80d10e86054b,Columbia,South Carolina,34.0378,-80.9036
644acdf0a6ac80d10e860529,Concord,California,37.9722,-122.0016
